Abbrev,State name,Total Employment,,
AL,Alabama,280,,
AK,Alaska,0,,
AZ,Arizona,250,,
AR,Arkansas,140,,
CA,California,"5,940",,
CO,Colorado,580,,
CT,Connecticut,640,,
DE,Delaware,50,,
DC,District of Columbia,240,,
FL,Florida,820,,
GA,Georgia,560,,
HI,Hawaii,180,,
ID,Idaho,60,,
IL,Illinois,"1,530",,
IN,Indiana,460,,
IA,Iowa,180,,
KS,Kansas,280,,
KY,Kentucky,200,,
LA,Louisiana,200,,
ME,Maine,80,,
MD,Maryland,310,,
MA,Massachusetts,760,,
MI,Michigan,980,,
MN,Minnesota,690,,
MS,Mississippi,120,,
MO,Missouri,830,,
MT,Montana,0,,
NE,Nebraska,230,,
NV,Nevada,180,,
NH,New Hampshire,80,,
NJ,New Jersey,560,,
NM,New Mexico,70,,
NY,New York,"7,180",,
NC,North Carolina,360,,
ND,North Dakota,0,,
OH,Ohio,"1,170",,
OK,Oklahoma,130,,
OR,Oregon,600,,
PA,Pennsylvania,"1,250",,
RI,Rhode Island,50,,
SC,South Carolina,200,,
SD,South Dakota,0,,
TN,Tennessee,330,,
TX,Texas,"1,900",,
UT,Utah,240,,
VT,Vermont,80,,
VA,Virginia,740,,
WA,Washington,680,,
WV,West Virginia,50,,
WI,Wisconsin,610,,
WY,Wyoming,0,,
